Title;Location;Start;End;Description
DCT (1050);B 4.1.01 TI 1;2023-10-09 08:00:00;2023-10-09 09:30:00;"Digital- und Computertechnik (1050) | P/4  Gruppe A/B | Thomas Gouders, Prof. Dr. Paul Kaufmann | IS 1 | "
DCT (1050);B 4.1.01 TI 1;2023-10-16 08:00:00;2023-10-16 09:30:00;"Digital- und Computertechnik (1050) | P/4  Gruppe A/B | Thomas Gouders, Prof. Dr. Paul Kaufmann | IS 1 | "
DCT (1050);B 4.1.01 TI 1;2023-10-23 08:00:00;2023-10-23 09:30:00;"Digital- und Computertechnik (1050) | P/4  Gruppe A/B | Thomas Gouders, Prof. Dr. Paul Kaufmann | IS 1 | "
DCT (1050);B 4.1.01 TI 1;2023-10-30 08:00:00;2023-10-30 09:30:00;"Digital- und Computertechnik (1050) | P/4  Gruppe A/B | Thomas Gouders, Prof. Dr. Paul Kaufmann | IS 1 | "
DCT (1050);B 4.1.01 TI 1;2023-11-06 08:00:00;2023-11-06 09:30:00;"Digital- und Computertechnik (1050) | P/4  Gruppe A/B | Thomas Gouders, Prof. Dr. Paul Kaufmann | IS 1 | "
DCT (1050);B 4.1.01 TI 1;2023-11-13 08:00:00;2023-11-13 09:30:00;"Digital- und Computertechnik (1050) | P/4  Gruppe A/B | Thomas Gouders, Prof. Dr. Paul Kaufmann | IS 1 | "
DCT (1050);B 4.1.01 TI 1;2023-11-20 08:00:00;2023-11-20 09:30:00;"Digital- und Computertechnik (1050) | P/4  Gruppe A/B | Thomas Gouders, Prof. Dr. Paul Kaufmann | IS 1 | "
DCT (1050);B 4.1.01 TI 1;2023-11-27 08:00:00;2023-11-27 09:30:00;"Digital- und Computertechnik (1050) | P/4  Gruppe A/B | Thomas Gouders, Prof. Dr. Paul Kaufmann | IS 1 | "
DCT (1050);B 4.1.01 TI 1;2023-12-04 08:00:00;2023-12-04 09:30:00;"Digital- und Computertechnik (1050) | P/4  Gruppe A/B | Thomas Gouders, Prof. Dr. Paul Kaufmann | IS 1 | "
DCT (1050);B 4.1.01 TI 1;2023-12-11 08:00:00;2023-12-11 09:30:00;"Digital- und Computertechnik (1050) | P/4  Gruppe A/B | Thomas Gouders, Prof. Dr. Paul Kaufmann | IS 1 | "
DCT (1050);B 4.1.01 TI 1;2023-12-18 08:00:00;2023-12-18 09:30:00;"Digital- und Computertechnik (1050) | P/4  Gruppe A/B | Thomas Gouders, Prof. Dr. Paul Kaufmann | IS 1 | "
DCT (1050);B 4.1.01 TI 1;2024-01-08 08:00:00;2024-01-08 09:30:00;"Digital- und Computertechnik (1050) | P/4  Gruppe A/B | Thomas Gouders, Prof. Dr. Paul Kaufmann | IS 1 | "
DCT (1050);B 4.1.01 TI 1;2024-01-15 08:00:00;2024-01-15 09:30:00;"Digital- und Computertechnik (1050) | P/4  Gruppe A/B | Thomas Gouders, Prof. Dr. Paul Kaufmann | IS 1 | "
DCT (1050);B 4.1.01 TI 1;2024-01-22 08:00:00;2024-01-22 09:30:00;"Digital- und Computertechnik (1050) | P/4  Gruppe A/B | Thomas Gouders, Prof. Dr. Paul Kaufmann | IS 1 | "
MAT1 (1070);A 1.1.11 ET;2023-10-11 10:15:00;2023-10-11 11:45:00;"Mathematik 1 (1070) | Ü Gr. B | Prof.Dr. Susanne Frey | IS 1 | "
MAT1 (1070);A 2.2.05 WI;2023-10-11 12:15:00;2023-10-11 13:45:00;"Mathematik 1 (1070) | V  | Prof.Dr. Susanne Frey | IS 1 | "
MAT1 (1070);A 1.1.11 ET;2023-10-18 10:15:00;2023-10-18 11:45:00;"Mathematik 1 (1070) | Ü Gr. B | Prof.Dr. Susanne Frey | IS 1 | "
MAT1 (1070);A 2.2.05 WI;2023-10-18 12:15:00;2023-10-18 13:45:00;"Mathematik 1 (1070) | V  | Prof.Dr. Susanne Frey | IS 1 | "
MAT1 (1070);A 1.1.11 ET;2023-10-25 10:15:00;2023-10-25 11:45:00;"Mathematik 1 (1070) | Ü Gr. B | Prof.Dr. Susanne Frey | IS 1 | "
MAT1 (1070);A 2.2.05 WI;2023-10-25 12:15:00;2023-10-25 13:45:00;"Mathematik 1 (1070) | V  | Prof.Dr. Susanne Frey | IS 1 | "
MAT1 (1070);A 1.1.11 ET;2023-11-08 10:15:00;2023-11-08 11:45:00;"Mathematik 1 (1070) | Ü Gr. B | Prof.Dr. Susanne Frey | IS 1 | "
MAT1 (1070);A 2.2.05 WI;2023-11-08 12:15:00;2023-11-08 13:45:00;"Mathematik 1 (1070) | V  | Prof.Dr. Susanne Frey | IS 1 | "
MAT1 (1070);A 1.1.11 ET;2023-11-15 10:15:00;2023-11-15 11:45:00;"Mathematik 1 (1070) | Ü Gr. B | Prof.Dr. Susanne Frey | IS 1 | "
MAT1 (1070);A 2.2.05 WI;2023-11-15 12:15:00;2023-11-15 13:45:00;"Mathematik 1 (1070) | V  | Prof.Dr. Susanne Frey | IS 1 | "
MAT1 (1070);A 1.1.11 ET;2023-11-22 10:15:00;2023-11-22 11:45:00;"Mathematik 1 (1070) | Ü Gr. B | Prof.Dr. Susanne Frey | IS 1 | "
MAT1 (1070);A 2.2.05 WI;2023-11-22 12:15:00;2023-11-22 13:45:00;"Mathematik 1 (1070) | V  | Prof.Dr. Susanne Frey | IS 1 | "
MAT1 (1070);A 1.1.11 ET;2023-11-29 10:15:00;2023-11-29 11:45:00;"Mathematik 1 (1070) | Ü Gr. B | Prof.Dr. Susanne Frey | IS 1 | "
MAT1 (1070);A 2.2.05 WI;2023-11-29 12:15:00;2023-11-29 13:45:00;"Mathematik 1 (1070) | V  | Prof.Dr. Susanne Frey | IS 1 | "
MAT1 (1070);A 1.1.11 ET;2023-12-06 10:15:00;2023-12-06 11:45:00;"Mathematik 1 (1070) | Ü Gr. B | Prof.Dr. Susanne Frey | IS 1 | "
MAT1 (1070);A 2.2.05 WI;2023-12-06 12:15:00;2023-12-06 13:45:00;"Mathematik 1 (1070) | V  | Prof.Dr. Susanne Frey | IS 1 | "
MAT1 (1070);A 1.1.11 ET;2023-12-13 10:15:00;2023-12-13 11:45:00;"Mathematik 1 (1070) | Ü Gr. B | Prof.Dr. Susanne Frey | IS 1 | "
MAT1 (1070);A 2.2.05 WI;2023-12-13 12:15:00;2023-12-13 13:45:00;"Mathematik 1 (1070) | V  | Prof.Dr. Susanne Frey | IS 1 | "
MAT1 (1070);A 1.1.11 ET;2023-12-20 10:15:00;2023-12-20 11:45:00;"Mathematik 1 (1070) | Ü Gr. B | Prof.Dr. Susanne Frey | IS 1 | "
MAT1 (1070);A 2.2.05 WI;2023-12-20 12:15:00;2023-12-20 13:45:00;"Mathematik 1 (1070) | V  | Prof.Dr. Susanne Frey | IS 1 | "
MAT1 (1070);A 1.1.11 ET;2024-01-03 10:15:00;2024-01-03 11:45:00;"Mathematik 1 (1070) | Ü Gr. B | Prof.Dr. Susanne Frey | IS 1 | "
MAT1 (1070);A 2.2.05 WI;2024-01-03 12:15:00;2024-01-03 13:45:00;"Mathematik 1 (1070) | V  | Prof.Dr. Susanne Frey | IS 1 | "
MAT1 (1070);A 1.1.11 ET;2024-01-10 10:15:00;2024-01-10 11:45:00;"Mathematik 1 (1070) | Ü Gr. B | Prof.Dr. Susanne Frey | IS 1 | "
MAT1 (1070);A 2.2.05 WI;2024-01-10 12:15:00;2024-01-10 13:45:00;"Mathematik 1 (1070) | V  | Prof.Dr. Susanne Frey | IS 1 | "
MAT1 (1070);A 1.1.11 ET;2024-01-17 10:15:00;2024-01-17 11:45:00;"Mathematik 1 (1070) | Ü Gr. B | Prof.Dr. Susanne Frey | IS 1 | "
MAT1 (1070);A 2.2.05 WI;2024-01-17 12:15:00;2024-01-17 13:45:00;"Mathematik 1 (1070) | V  | Prof.Dr. Susanne Frey | IS 1 | "
MAT1 (1070);A 1.1.11 ET;2024-01-24 10:15:00;2024-01-24 11:45:00;"Mathematik 1 (1070) | Ü Gr. B | Prof.Dr. Susanne Frey | IS 1 | "
MAT1 (1070);A 2.2.05 WI;2024-01-24 12:15:00;2024-01-24 13:45:00;"Mathematik 1 (1070) | V  | Prof.Dr. Susanne Frey | IS 1 | "
SLAB (1090);A 2.2.06 WI;2023-10-10 12:15:00;2023-10-10 15:45:00;"Students' Lab (1090) | Dirk Gouders, Prof.Dr. Martin Guddat | IS 1 | "
SLAB (1090);A 2.2.06 WI;2023-10-17 12:15:00;2023-10-17 15:45:00;"Students' Lab (1090) | Dirk Gouders, Prof.Dr. Martin Guddat | IS 1 | "
SLAB (1090);A 2.2.06 WI;2023-10-24 12:15:00;2023-10-24 15:45:00;"Students' Lab (1090) | Dirk Gouders, Prof.Dr. Martin Guddat | IS 1 | "
SLAB (1090);A 2.2.06 WI;2023-10-31 12:15:00;2023-10-31 15:45:00;"Students' Lab (1090) | Dirk Gouders, Prof.Dr. Martin Guddat | IS 1 | "
SLAB (1090);A 2.2.06 WI;2023-11-07 12:15:00;2023-11-07 15:45:00;"Students' Lab (1090) | Dirk Gouders, Prof.Dr. Martin Guddat | IS 1 | "
SLAB (1090);A 2.2.06 WI;2023-11-14 12:15:00;2023-11-14 15:45:00;"Students' Lab (1090) | Dirk Gouders, Prof.Dr. Martin Guddat | IS 1 | "
SLAB (1090);A 2.2.06 WI;2023-11-21 12:15:00;2023-11-21 15:45:00;"Students' Lab (1090) | Dirk Gouders, Prof.Dr. Martin Guddat | IS 1 | "
SLAB (1090);A 2.2.06 WI;2023-11-28 12:15:00;2023-11-28 15:45:00;"Students' Lab (1090) | Dirk Gouders, Prof.Dr. Martin Guddat | IS 1 | "
SLAB (1090);A 2.2.06 WI;2023-12-05 12:15:00;2023-12-05 15:45:00;"Students' Lab (1090) | Dirk Gouders, Prof.Dr. Martin Guddat | IS 1 | "
SLAB (1090);A 2.2.06 WI;2023-12-12 12:15:00;2023-12-12 15:45:00;"Students' Lab (1090) | Dirk Gouders, Prof.Dr. Martin Guddat | IS 1 | "
SLAB (1090);A 2.2.06 WI;2023-12-19 12:15:00;2023-12-19 15:45:00;"Students' Lab (1090) | Dirk Gouders, Prof.Dr. Martin Guddat | IS 1 | "
SLAB (1090);A 2.2.06 WI;2024-01-02 12:15:00;2024-01-02 15:45:00;"Students' Lab (1090) | Dirk Gouders, Prof.Dr. Martin Guddat | IS 1 | "
SLAB (1090);A 2.2.06 WI;2024-01-09 12:15:00;2024-01-09 15:45:00;"Students' Lab (1090) | Dirk Gouders, Prof.Dr. Martin Guddat | IS 1 | "
SLAB (1090);A 2.2.06 WI;2024-01-16 12:15:00;2024-01-16 15:45:00;"Students' Lab (1090) | Dirk Gouders, Prof.Dr. Martin Guddat | IS 1 | "
SLAB (1090);A 2.2.06 WI;2024-01-23 12:15:00;2024-01-23 15:45:00;"Students' Lab (1090) | Dirk Gouders, Prof.Dr. Martin Guddat | IS 1 | "
GIP1 (1010);B 3.1.02 SWT1;2023-10-11 08:30:00;2023-10-11 10:00:00;"Grundlagen der Informatik und Programmierung 1 (1010) | P/4 Gr. B | Dirk Gouders, Prof. Dr. Tom Vierjahn | IS 1 | "
GIP1 (1010);B 3.1.02 SWT1;2023-10-18 08:30:00;2023-10-18 10:00:00;"Grundlagen der Informatik und Programmierung 1 (1010) | P/4 Gr. B | Dirk Gouders, Prof. Dr. Tom Vierjahn | IS 1 | "
GIP1 (1010);B 3.1.02 SWT1;2023-10-25 08:30:00;2023-10-25 10:00:00;"Grundlagen der Informatik und Programmierung 1 (1010) | P/4 Gr. B | Dirk Gouders, Prof. Dr. Tom Vierjahn | IS 1 | "
GIP1 (1010);B 3.1.02 SWT1;2023-11-08 08:30:00;2023-11-08 10:00:00;"Grundlagen der Informatik und Programmierung 1 (1010) | P/4 Gr. B | Dirk Gouders, Prof. Dr. Tom Vierjahn | IS 1 | "
GIP1 (1010);B 3.1.02 SWT1;2023-11-15 08:30:00;2023-11-15 10:00:00;"Grundlagen der Informatik und Programmierung 1 (1010) | P/4 Gr. B | Dirk Gouders, Prof. Dr. Tom Vierjahn | IS 1 | "
GIP1 (1010);B 3.1.02 SWT1;2023-11-22 08:30:00;2023-11-22 10:00:00;"Grundlagen der Informatik und Programmierung 1 (1010) | P/4 Gr. B | Dirk Gouders, Prof. Dr. Tom Vierjahn | IS 1 | "
GIP1 (1010);B 3.1.02 SWT1;2023-11-29 08:30:00;2023-11-29 10:00:00;"Grundlagen der Informatik und Programmierung 1 (1010) | P/4 Gr. B | Dirk Gouders, Prof. Dr. Tom Vierjahn | IS 1 | "
GIP1 (1010);B 3.1.02 SWT1;2023-12-06 08:30:00;2023-12-06 10:00:00;"Grundlagen der Informatik und Programmierung 1 (1010) | P/4 Gr. B | Dirk Gouders, Prof. Dr. Tom Vierjahn | IS 1 | "
GIP1 (1010);B 3.1.02 SWT1;2023-12-13 08:30:00;2023-12-13 10:00:00;"Grundlagen der Informatik und Programmierung 1 (1010) | P/4 Gr. B | Dirk Gouders, Prof. Dr. Tom Vierjahn | IS 1 | "
GIP1 (1010);B 3.1.02 SWT1;2023-12-20 08:30:00;2023-12-20 10:00:00;"Grundlagen der Informatik und Programmierung 1 (1010) | P/4 Gr. B | Dirk Gouders, Prof. Dr. Tom Vierjahn | IS 1 | "
GIP1 (1010);B 3.1.02 SWT1;2024-01-03 08:30:00;2024-01-03 10:00:00;"Grundlagen der Informatik und Programmierung 1 (1010) | P/4 Gr. B | Dirk Gouders, Prof. Dr. Tom Vierjahn | IS 1 | "
GIP1 (1010);B 3.1.02 SWT1;2024-01-10 08:30:00;2024-01-10 10:00:00;"Grundlagen der Informatik und Programmierung 1 (1010) | P/4 Gr. B | Dirk Gouders, Prof. Dr. Tom Vierjahn | IS 1 | "
GIP1 (1010);B 3.1.02 SWT1;2024-01-17 08:30:00;2024-01-17 10:00:00;"Grundlagen der Informatik und Programmierung 1 (1010) | P/4 Gr. B | Dirk Gouders, Prof. Dr. Tom Vierjahn | IS 1 | "
GIP1 (1010);B 3.1.02 SWT1;2024-01-24 08:30:00;2024-01-24 10:00:00;"Grundlagen der Informatik und Programmierung 1 (1010) | P/4 Gr. B | Dirk Gouders, Prof. Dr. Tom Vierjahn | IS 1 | "
DCT (1050);A HS2;2023-10-09 10:00:00;2023-10-09 11:30:00;"Digital- und Computertechnik (1050) | V  | Prof. Dr. Paul Kaufmann | IS 1 | "
DCT (1050);A HS2;2023-10-09 11:30:00;2023-10-09 12:30:00;"Digital- und Computertechnik (1050) | Ü | Prof. Dr. Paul Kaufmann | IS 1 | "
DCT (1050);A HS2;2023-10-16 10:00:00;2023-10-16 11:30:00;"Digital- und Computertechnik (1050) | V  | Prof. Dr. Paul Kaufmann | IS 1 | "
DCT (1050);A HS2;2023-10-16 11:30:00;2023-10-16 12:30:00;"Digital- und Computertechnik (1050) | Ü | Prof. Dr. Paul Kaufmann | IS 1 | "
DCT (1050);A HS2;2023-10-23 10:00:00;2023-10-23 11:30:00;"Digital- und Computertechnik (1050) | V  | Prof. Dr. Paul Kaufmann | IS 1 | "
DCT (1050);A HS2;2023-10-23 11:30:00;2023-10-23 12:30:00;"Digital- und Computertechnik (1050) | Ü | Prof. Dr. Paul Kaufmann | IS 1 | "
DCT (1050);A HS2;2023-10-30 10:00:00;2023-10-30 11:30:00;"Digital- und Computertechnik (1050) | V  | Prof. Dr. Paul Kaufmann | IS 1 | "
DCT (1050);A HS2;2023-10-30 11:30:00;2023-10-30 12:30:00;"Digital- und Computertechnik (1050) | Ü | Prof. Dr. Paul Kaufmann | IS 1 | "
DCT (1050);A HS2;2023-11-06 10:00:00;2023-11-06 11:30:00;"Digital- und Computertechnik (1050) | V  | Prof. Dr. Paul Kaufmann | IS 1 | "
DCT (1050);A HS2;2023-11-06 11:30:00;2023-11-06 12:30:00;"Digital- und Computertechnik (1050) | Ü | Prof. Dr. Paul Kaufmann | IS 1 | "
DCT (1050);A HS2;2023-11-13 10:00:00;2023-11-13 11:30:00;"Digital- und Computertechnik (1050) | V  | Prof. Dr. Paul Kaufmann | IS 1 | "
DCT (1050);A HS2;2023-11-13 11:30:00;2023-11-13 12:30:00;"Digital- und Computertechnik (1050) | Ü | Prof. Dr. Paul Kaufmann | IS 1 | "
DCT (1050);A HS2;2023-11-20 10:00:00;2023-11-20 11:30:00;"Digital- und Computertechnik (1050) | V  | Prof. Dr. Paul Kaufmann | IS 1 | "
DCT (1050);A HS2;2023-11-20 11:30:00;2023-11-20 12:30:00;"Digital- und Computertechnik (1050) | Ü | Prof. Dr. Paul Kaufmann | IS 1 | "
DCT (1050);A HS2;2023-11-27 10:00:00;2023-11-27 11:30:00;"Digital- und Computertechnik (1050) | V  | Prof. Dr. Paul Kaufmann | IS 1 | "
DCT (1050);A HS2;2023-11-27 11:30:00;2023-11-27 12:30:00;"Digital- und Computertechnik (1050) | Ü | Prof. Dr. Paul Kaufmann | IS 1 | "
DCT (1050);A HS2;2023-12-04 10:00:00;2023-12-04 11:30:00;"Digital- und Computertechnik (1050) | V  | Prof. Dr. Paul Kaufmann | IS 1 | "
DCT (1050);A HS2;2023-12-04 11:30:00;2023-12-04 12:30:00;"Digital- und Computertechnik (1050) | Ü | Prof. Dr. Paul Kaufmann | IS 1 | "
DCT (1050);A HS2;2023-12-11 10:00:00;2023-12-11 11:30:00;"Digital- und Computertechnik (1050) | V  | Prof. Dr. Paul Kaufmann | IS 1 | "
DCT (1050);A HS2;2023-12-11 11:30:00;2023-12-11 12:30:00;"Digital- und Computertechnik (1050) | Ü | Prof. Dr. Paul Kaufmann | IS 1 | "
DCT (1050);A HS2;2023-12-18 10:00:00;2023-12-18 11:30:00;"Digital- und Computertechnik (1050) | V  | Prof. Dr. Paul Kaufmann | IS 1 | "
DCT (1050);A HS2;2023-12-18 11:30:00;2023-12-18 12:30:00;"Digital- und Computertechnik (1050) | Ü | Prof. Dr. Paul Kaufmann | IS 1 | "
DCT (1050);A HS2;2024-01-08 10:00:00;2024-01-08 11:30:00;"Digital- und Computertechnik (1050) | V  | Prof. Dr. Paul Kaufmann | IS 1 | "
DCT (1050);A HS2;2024-01-08 11:30:00;2024-01-08 12:30:00;"Digital- und Computertechnik (1050) | Ü | Prof. Dr. Paul Kaufmann | IS 1 | "
DCT (1050);A HS2;2024-01-15 10:00:00;2024-01-15 11:30:00;"Digital- und Computertechnik (1050) | V  | Prof. Dr. Paul Kaufmann | IS 1 | "
DCT (1050);A HS2;2024-01-15 11:30:00;2024-01-15 12:30:00;"Digital- und Computertechnik (1050) | Ü | Prof. Dr. Paul Kaufmann | IS 1 | "
DCT (1050);A HS2;2024-01-22 10:00:00;2024-01-22 11:30:00;"Digital- und Computertechnik (1050) | V  | Prof. Dr. Paul Kaufmann | IS 1 | "
DCT (1050);A HS2;2024-01-22 11:30:00;2024-01-22 12:30:00;"Digital- und Computertechnik (1050) | Ü | Prof. Dr. Paul Kaufmann | IS 1 | "
STA1;A 2.1.09 WI;2023-10-11 14:15:00;2023-10-11 17:30:00;"Statistik 1 | V/Ü | Prof.Dr. Karin Christof | IS 1 | "
STA1;A 2.1.09 WI;2023-10-18 14:15:00;2023-10-18 17:30:00;"Statistik 1 | V/Ü | Prof.Dr. Karin Christof | IS 1 | "
STA1;A 2.1.09 WI;2023-10-25 14:15:00;2023-10-25 17:30:00;"Statistik 1 | V/Ü | Prof.Dr. Karin Christof | IS 1 | "
STA1;A 2.1.09 WI;2023-11-08 14:15:00;2023-11-08 17:30:00;"Statistik 1 | V/Ü | Prof.Dr. Karin Christof | IS 1 | "
STA1;A 2.1.09 WI;2023-11-15 14:15:00;2023-11-15 17:30:00;"Statistik 1 | V/Ü | Prof.Dr. Karin Christof | IS 1 | "
STA1;A 2.1.09 WI;2023-11-22 14:15:00;2023-11-22 17:30:00;"Statistik 1 | V/Ü | Prof.Dr. Karin Christof | IS 1 | "
STA1;A 2.1.09 WI;2023-11-29 14:15:00;2023-11-29 17:30:00;"Statistik 1 | V/Ü | Prof.Dr. Karin Christof | IS 1 | "
STA1;A 2.1.09 WI;2023-12-06 14:15:00;2023-12-06 17:30:00;"Statistik 1 | V/Ü | Prof.Dr. Karin Christof | IS 1 | "
STA1;A 2.1.09 WI;2023-12-13 14:15:00;2023-12-13 17:30:00;"Statistik 1 | V/Ü | Prof.Dr. Karin Christof | IS 1 | "
STA1;A 2.1.09 WI;2023-12-20 14:15:00;2023-12-20 17:30:00;"Statistik 1 | V/Ü | Prof.Dr. Karin Christof | IS 1 | "
STA1;A 2.1.09 WI;2024-01-03 14:15:00;2024-01-03 17:30:00;"Statistik 1 | V/Ü | Prof.Dr. Karin Christof | IS 1 | "
STA1;A 2.1.09 WI;2024-01-10 14:15:00;2024-01-10 17:30:00;"Statistik 1 | V/Ü | Prof.Dr. Karin Christof | IS 1 | "
STA1;A 2.1.09 WI;2024-01-17 14:15:00;2024-01-17 17:30:00;"Statistik 1 | V/Ü | Prof.Dr. Karin Christof | IS 1 | "
STA1;A 2.1.09 WI;2024-01-24 14:15:00;2024-01-24 17:30:00;"Statistik 1 | V/Ü | Prof.Dr. Karin Christof | IS 1 | "
GIP1 (1010);A 1.1.09 ET;2023-10-10 08:15:00;2023-10-10 09:45:00;"Grundlagen der Informatik und Programmierung 1 (1010) | V | Prof. Dr. Tom Vierjahn | IS 1 | "
GIP1 (1010);A 1.1.09 ET;2023-10-17 08:15:00;2023-10-17 09:45:00;"Grundlagen der Informatik und Programmierung 1 (1010) | V | Prof. Dr. Tom Vierjahn | IS 1 | "
GIP1 (1010);A 1.1.09 ET;2023-10-24 08:15:00;2023-10-24 09:45:00;"Grundlagen der Informatik und Programmierung 1 (1010) | V | Prof. Dr. Tom Vierjahn | IS 1 | "
GIP1 (1010);A 1.1.09 ET;2023-10-31 08:15:00;2023-10-31 09:45:00;"Grundlagen der Informatik und Programmierung 1 (1010) | V | Prof. Dr. Tom Vierjahn | IS 1 | "
GIP1 (1010);A 1.1.09 ET;2023-11-07 08:15:00;2023-11-07 09:45:00;"Grundlagen der Informatik und Programmierung 1 (1010) | V | Prof. Dr. Tom Vierjahn | IS 1 | "
GIP1 (1010);A 1.1.09 ET;2023-11-14 08:15:00;2023-11-14 09:45:00;"Grundlagen der Informatik und Programmierung 1 (1010) | V | Prof. Dr. Tom Vierjahn | IS 1 | "
GIP1 (1010);A 1.1.09 ET;2023-11-21 08:15:00;2023-11-21 09:45:00;"Grundlagen der Informatik und Programmierung 1 (1010) | V | Prof. Dr. Tom Vierjahn | IS 1 | "
GIP1 (1010);A 1.1.09 ET;2023-11-28 08:15:00;2023-11-28 09:45:00;"Grundlagen der Informatik und Programmierung 1 (1010) | V | Prof. Dr. Tom Vierjahn | IS 1 | "
GIP1 (1010);A 1.1.09 ET;2023-12-05 08:15:00;2023-12-05 09:45:00;"Grundlagen der Informatik und Programmierung 1 (1010) | V | Prof. Dr. Tom Vierjahn | IS 1 | "
GIP1 (1010);A 1.1.09 ET;2023-12-12 08:15:00;2023-12-12 09:45:00;"Grundlagen der Informatik und Programmierung 1 (1010) | V | Prof. Dr. Tom Vierjahn | IS 1 | "
GIP1 (1010);A 1.1.09 ET;2023-12-19 08:15:00;2023-12-19 09:45:00;"Grundlagen der Informatik und Programmierung 1 (1010) | V | Prof. Dr. Tom Vierjahn | IS 1 | "
GIP1 (1010);A 1.1.09 ET;2024-01-02 08:15:00;2024-01-02 09:45:00;"Grundlagen der Informatik und Programmierung 1 (1010) | V | Prof. Dr. Tom Vierjahn | IS 1 | "
GIP1 (1010);A 1.1.09 ET;2024-01-09 08:15:00;2024-01-09 09:45:00;"Grundlagen der Informatik und Programmierung 1 (1010) | V | Prof. Dr. Tom Vierjahn | IS 1 | "
GIP1 (1010);A 1.1.09 ET;2024-01-16 08:15:00;2024-01-16 09:45:00;"Grundlagen der Informatik und Programmierung 1 (1010) | V | Prof. Dr. Tom Vierjahn | IS 1 | "
GIP1 (1010);A 1.1.09 ET;2024-01-23 08:15:00;2024-01-23 09:45:00;"Grundlagen der Informatik und Programmierung 1 (1010) | V | Prof. Dr. Tom Vierjahn | IS 1 | "
